job_title,similarity_score,location,job_url
Data Platform Engineer,0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/jobs?q=machine+learning&l=Bengaluru%2C+Karnataka&from=searchOnDesktopSerp&vjk=0548cc2eb07cd11a
ASIC Engineer,0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/jobs?q=machine+learning&l=Bengaluru%2C+Karnataka&from=searchOnDesktopSerp&vjk=0548cc2eb07cd11a
Azure Data Engineer,0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/jobs?q=machine+learning&l=Bengaluru%2C+Karnataka&from=searchOnDesktopSerp&vjk=0548cc2eb07cd11a
SENIOR PYTHON DEVELOPER,0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/viewjob?jk=7ccde32a790bb021&vjs=3
Senior Backend Engineer,0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/viewjob?jk=3937c9a8cc257fcc&vjs=3
"Manager, Engineering",0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/viewjob?jk=faf429d10072ecc5&vjs=3
.NET Full Stack Developer 8years,0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/viewjob?jk=7e51531f6588385e&vjs=3
"Software Engineer - Wireless, Ring",0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/viewjob?jk=f7299b33505b8aef&vjs=3
Senior Data Engineer,0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/viewjob?jk=3a000924e01e3c7b&vjs=3
"Engineer, Software",0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/viewjob?jk=93f5b039dc12c2f6&vjs=3
Senior Software Engineer - Dot net,0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/viewjob?jk=5c16f446822a42d1&vjs=3
